,day,month,year,dow,hour,min,depICAO,craftType,airline
254,04,12,2022,Sunday,13,21,KBOS,Airbus,American
255,04,12,2022,Sunday,13,30,KVPS,Airbus,American
256,04,12,2022,Sunday,13,49,KRDU,Airbus,American
257,04,12,2022,Sunday,13,38,KPBI,Airbus,American
258,04,12,2022,Sunday,13,37,KTPA,Airbus,American
259,04,12,2022,Sunday,13,15,KMCO,Boeing,American
260,04,12,2022,Sunday,13,37,KLAX,Airbus,American
261,04,12,2022,Sunday,13,55,CYYZ,Canadair Regional,American
262,04,12,2022,Sunday,13,57,KJAN,Canadair Regional,American
263,04,12,2022,Sunday,13,26,KLEX,Canadair Regional,American
264,04,12,2022,Sunday,13,31,KSBN,Canadair Regional,American
265,04,12,2022,Sunday,13,42,KORF,Canadair Regional,American
266,04,12,2022,Sunday,13,33,KDCA,Airbus,American
267,04,12,2022,Sunday,13,46,KSDF,Canadair Regional,American
268,04,12,2022,Sunday,13,53,MYGF,Canadair Regional,American
269,04,12,2022,Sunday,13,38,KBWI,Canadair Regional,American
270,04,12,2022,Sunday,13,44,KMIA,Boeing,American
271,04,12,2022,Sunday,13,44,KCVG,Canadair Regional,American
272,04,12,2022,Sunday,13,51,KFAY,Embraer,American
273,04,12,2022,Sunday,13,57,KLYH,Embraer,American
274,04,12,2022,Sunday,13,21,KROA,Embraer,American
275,04,12,2022,Sunday,13,59,EDDF,Boeing,American
276,04,12,2022,Sunday,13,33,KMSP,Boeing,Delta Air Lines
277,04,12,2022,Sunday,13,30,KJFK,Canadair Regional,Delta Air Lines
278,04,12,2022,Sunday,13,31,KATL,Boeing,Delta Air Lines
279,04,12,2022,Sunday,13,14,KMMU,Other,GAJ
280,04,12,2022,Sunday,13,28,KHXD,Embraer,Envoy Air
281,04,12,2022,Sunday,13,33,KJAX,Airbus,American
282,04,12,2022,Sunday,13,47,KDFW,Airbus,American
283,04,12,2022,Sunday,13,28,KPHX,Airbus,American
284,04,12,2022,Sunday,13,21,KROA,Embraer,Piedmont
285,04,12,2022,Sunday,13,47,KFXE,Other,TLK
286,04,12,2022,Sunday,13,59,KEWR,Airbus,United
287,04,12,2022,Sunday,13,45,KDAL,Boeing,Southwest
288,04,12,2022,Sunday,14,23,KIAD,Other,NetJets Aviation
289,04,12,2022,Sunday,13,37,KSUA,Other,Unknown/Private owner
290,04,12,2022,Sunday,13,24,KILM,Other,Unknown/Private owner
291,04,12,2022,Sunday,14,01,KILM,Airbus,American
292,04,12,2022,Sunday,14,28,KMCI,Airbus,American
293,04,12,2022,Sunday,14,00,KMCO,Airbus,American
294,04,12,2022,Sunday,14,50,MMUN,Airbus,American
295,04,12,2022,Sunday,14,07,KEYW,Airbus,American
296,04,12,2022,Sunday,14,15,KMDT,Airbus,American
297,04,12,2022,Sunday,14,30,KDCA,Airbus,American
298,04,12,2022,Sunday,14,53,MKJS,Airbus,American
299,04,12,2022,Sunday,14,02,KLGA,Boeing,American
300,04,12,2022,Sunday,14,16,KCRW,Canadair Regional,American
301,04,12,2022,Sunday,14,23,KALB,Canadair Regional,American
302,04,12,2022,Sunday,14,04,KROC,Canadair Regional,American
303,04,12,2022,Sunday,14,02,KSYR,Canadair Regional,American
304,04,12,2022,Sunday,14,38,KMGM,Embraer,American
305,04,12,2022,Sunday,14,28,EDDM,Boeing,American
306,04,12,2022,Sunday,14,52,KSEA,Airbus,American
307,04,12,2022,Sunday,14,18,KBOS,Embraer,Delta Air Lines
308,04,12,2022,Sunday,14,09,KCMH,Other,Unknown/Private owner
309,04,12,2022,Sunday,14,46,KACY,Embraer,LXJ
310,04,12,2022,Sunday,14,45,MYEF,Embraer,Envoy Air
311,04,12,2022,Sunday,14,09,KCMH,Other,Unknown/Private owner
312,04,12,2022,Sunday,14,38,KLGA,Canadair Regional,Delta Air Lines
313,04,12,2022,Sunday,14,00,KIAD,Embraer,United
314,04,12,2022,Sunday,15,48,KSBD,Boeing,ATI
315,04,12,2022,Sunday,15,42,KRSW,Airbus,American
316,04,12,2022,Sunday,15,27,KSRQ,Boeing,American
317,04,12,2022,Sunday,15,55,KILM,Airbus,American
318,04,12,2022,Sunday,15,20,KMCO,Airbus,American
319,04,12,2022,Sunday,15,13,KBDL,Boeing,American
320,04,12,2022,Sunday,15,24,KMSY,Airbus,American
321,04,12,2022,Sunday,15,52,KRDU,Boeing,American
322,04,12,2022,Sunday,15,30,KSFO,Airbus,American
323,04,12,2022,Sunday,15,46,KJAX,Airbus,American
324,04,12,2022,Sunday,15,15,KBOS,Airbus,American
325,04,12,2022,Sunday,15,22,KIND,Airbus,American
326,04,12,2022,Sunday,15,32,KJFK,Airbus,American
327,04,12,2022,Sunday,15,38,KTPA,Airbus,American
328,04,12,2022,Sunday,15,04,KLAX,Boeing,American
329,04,12,2022,Sunday,15,49,KBTR,Canadair Regional,American
330,04,12,2022,Sunday,15,43,KDFW,Airbus,American
331,04,12,2022,Sunday,15,41,KHPN,Canadair Regional,American
332,04,12,2022,Sunday,15,29,KPHX,Airbus,American
333,04,12,2022,Sunday,15,19,KGNV,Canadair Regional,American
334,04,12,2022,Sunday,15,30,KMEM,Airbus,American
335,04,12,2022,Sunday,15,22,KORD,Boeing,American
336,04,12,2022,Sunday,15,44,KAGS,Canadair Regional,American
337,04,12,2022,Sunday,15,48,KMYR,Canadair Regional,American
338,04,12,2022,Sunday,15,25,KPVD,Canadair Regional,American
339,04,12,2022,Sunday,15,37,KCLE,Canadair Regional,American
340,04,12,2022,Sunday,15,34,KFWA,Embraer,American
341,04,12,2022,Sunday,15,36,KERI,Embraer,American
342,04,12,2022,Sunday,15,29,KEWN,Embraer,American
343,04,12,2022,Sunday,15,16,MDPC,Boeing,American
344,04,12,2022,Sunday,15,40,MMCZ,Airbus,American
345,04,12,2022,Sunday,15,53,KSLC,Boeing,Delta Air Lines
346,04,12,2022,Sunday,15,31,KMDT,Other,Nordwind
347,04,12,2022,Sunday,15,30,KSAV,Other,Unknown/Private owner
348,04,12,2022,Sunday,15,42,KIAH,Boeing,United
349,04,12,2022,Sunday,15,05,KDEN,Boeing,United
350,04,12,2022,Sunday,12,08,KJAX,Airbus,American
351,04,12,2022,Sunday,15,12,KBNA,Boeing,American
352,04,12,2022,Sunday,15,45,KGSO,Airbus,American
353,04,12,2022,Sunday,15,53,KSAT,Airbus,American
354,04,12,2022,Sunday,15,40,KDTW,Airbus,American
355,04,12,2022,Sunday,15,14,MYNN,Boeing,American
356,04,12,2022,Sunday,16,07,KMCO,Other,NetJets Aviation
357,04,12,2022,Sunday,16,42,KDCA,Airbus,American
358,04,12,2022,Sunday,16,49,KORD,Boeing,American
359,04,12,2022,Sunday,16,15,KMCO,Airbus,American
360,04,12,2022,Sunday,16,59,KPBI,Airbus,American
361,04,12,2022,Sunday,16,32,KSAV,Airbus,American
362,04,12,2022,Sunday,16,54,KSAN,Airbus,American
363,04,12,2022,Sunday,16,13,KRIC,Embraer,American
364,04,12,2022,Sunday,16,05,KCHS,Boeing,American
365,04,12,2022,Sunday,16,38,MWCR,Airbus,American
366,04,12,2022,Sunday,16,40,MYAM,Embraer,American
367,04,12,2022,Sunday,16,22,KSHV,Canadair Regional,American
368,04,12,2022,Sunday,16,07,KBUF,Canadair Regional,American
369,04,12,2022,Sunday,16,49,KPHX,Airbus,American
370,04,12,2022,Sunday,16,06,KOAJ,Embraer,American
371,04,12,2022,Sunday,16,17,KHTS,Embraer,American
372,04,12,2022,Sunday,16,12,EGLL,Boeing,American
373,04,12,2022,Sunday,16,42,KLAS,Airbus,American
374,04,12,2022,Sunday,16,42,MDPC,Boeing,American
375,04,12,2022,Sunday,16,25,MMUN,Airbus,American
376,04,12,2022,Sunday,16,10,CYYZ,Canadair Regional,Air Canada
377,04,12,2022,Sunday,16,19,KATL,Boeing,Delta Air Lines
378,04,12,2022,Sunday,16,03,KDTW,Boeing,Delta Air Lines
379,04,12,2022,Sunday,16,22,KHXD,Embraer,Envoy Air
380,04,12,2022,Sunday,16,12,MYAM,Embraer,Envoy Air
381,04,12,2022,Sunday,16,23,KGMU,Embraer,Unknown/Private owner
382,04,12,2022,Sunday,16,30,KRDU,Other,Unknown/Private owner
383,04,12,2022,Sunday,16,18,KLGA,Airbus,Spirit
384,04,12,2022,Sunday,16,44,KEWR,Boeing,United
385,04,12,2022,Sunday,16,51,KORD,Airbus,United
386,04,12,2022,Sunday,16,15,KBNA,Boeing,Southwest
387,04,12,2022,Sunday,17,26,KPHL,Airbus,American
388,04,12,2022,Sunday,17,43,KORF,Boeing,American
389,04,12,2022,Sunday,17,47,CYYZ,Airbus,American
390,04,12,2022,Sunday,17,36,KSRQ,Airbus,American
391,04,12,2022,Sunday,17,21,TXKF,Airbus,American
392,04,12,2022,Sunday,17,16,KEYW,Airbus,American
393,04,12,2022,Sunday,17,30,KMKE,Airbus,American
394,04,12,2022,Sunday,17,08,KBOS,Boeing,American
395,04,12,2022,Sunday,17,07,KDEN,Airbus,American
396,04,12,2022,Sunday,17,16,KPIT,Airbus,American
397,04,12,2022,Sunday,17,30,KIAH,Boeing,American
398,04,12,2022,Sunday,17,44,KPNS,Airbus,American
399,04,12,2022,Sunday,17,17,KCVG,Boeing,American
400,04,12,2022,Sunday,17,15,KMCO,Airbus,American
401,04,12,2022,Sunday,17,28,KDFW,Airbus,American
402,04,12,2022,Sunday,17,29,KRDU,Airbus,American
403,04,12,2022,Sunday,17,01,KHXD,Embraer,American
404,04,12,2022,Sunday,17,22,KMIA,Boeing,American
405,04,12,2022,Sunday,17,10,KIAD,Canadair Regional,American
406,04,12,2022,Sunday,17,00,KFLL,Airbus,American
407,04,12,2022,Sunday,17,33,KSBN,Canadair Regional,American
408,04,12,2022,Sunday,17,00,MZBZ,Boeing,American
409,04,12,2022,Sunday,17,41,KRSW,Airbus,American
410,04,12,2022,Sunday,17,31,KLYH,Embraer,American
411,04,12,2022,Sunday,17,38,KEWN,Embraer,American
412,04,12,2022,Sunday,17,18,KEVV,Embraer,American
413,04,12,2022,Sunday,17,18,KPHF,Embraer,American
414,04,12,2022,Sunday,17,42,KCHO,Embraer,American
415,04,12,2022,Sunday,17,02,MBPV,Airbus,American
416,04,12,2022,Sunday,17,37,EGLL,Boeing,American
417,04,12,2022,Sunday,17,23,KAUS,Airbus,American
418,04,12,2022,Sunday,17,58,KTYS,Canadair Regional,American
419,04,12,2022,Sunday,17,37,KCHS,Canadair Regional,American
420,04,12,2022,Sunday,17,23,KSAN,Airbus,American
421,04,12,2022,Sunday,17,22,KTUL,Canadair Regional,American
422,04,12,2022,Sunday,17,05,KTLH,Canadair Regional,American
423,04,12,2022,Sunday,17,54,KMSP,Boeing,Delta Air Lines
424,04,12,2022,Sunday,17,55,KATL,Boeing,Delta Air Lines
425,04,12,2022,Sunday,17,14,KJFK,Canadair Regional,Delta Air Lines
426,04,12,2022,Sunday,17,15,KPHL,Airbus,Frontier
427,04,12,2022,Sunday,17,11,KMEM,Boeing,FedEx
428,04,12,2022,Sunday,17,00,KLWB,Embraer,Contour Aviation
429,04,12,2022,Sunday,17,00,EDDM,Airbus,Lufthansa
430,04,12,2022,Sunday,17,59,KSFB,Other,Unknown/Private owner
431,04,12,2022,Sunday,17,35,KGMU,Other,Unknown/Private owner
432,04,12,2022,Sunday,17,13,KFRG,Other,Unknown/Private owner
433,04,12,2022,Sunday,17,42,KSAV,Other,Unknown/Private owner
434,04,12,2022,Sunday,17,55,KMDW,Boeing,Southwest
435,04,12,2022,Sunday,18,26,TNCM,Airbus,American
436,04,12,2022,Sunday,18,54,KCMH,Airbus,American
437,04,12,2022,Sunday,18,28,KBNA,Airbus,American
438,04,12,2022,Sunday,18,40,KSDF,Airbus,American
439,04,12,2022,Sunday,18,15,KMCO,Airbus,American
440,04,12,2022,Sunday,18,40,MWCR,Boeing,American
441,04,12,2022,Sunday,18,19,KJFK,Boeing,American
442,04,12,2022,Sunday,18,41,KDCA,Airbus,American
